Nama,Rating,Waktu,Review,case folding,tokenizing,stopword,stemming,topic_0_prob,topic_1_prob,dominant_topic,label,sentimen
asa afi,5,2025-02-03 23:53:40,istimewa,istimewa,['istimewa'],['istimewa'],['istimewa'],0.2501683638901565,0.7498316361098435,1,0,Positif
Putri Pramitha Sari,1,2025-01-30 14:16:57,ribet,ribet,['ribet'],['ribet'],['ribet'],0.3975973733597144,0.6024026266402857,1,0,Negatif
STST STST,1,2025-01-27 19:16:44,parah udah di beri akses setelah selesai tidak bisa lihat fitur dalam aplikasi,parah udah di beri akses setelah selesai tidak bisa lihat fitur dalam aplikasi,"['parah', 'udah', 'di', 'beri', 'akses', 'setelah', 'selesai', 'tidak', 'bisa', 'lihat', 'fitur', 'dalam', 'aplikasi']","['parah', 'udah', 'akses', 'selesai', 'lihat', 'fitur', 'aplikasi']",['parah udah akses selesai lihat fitur aplikasi'],0.91479166012356,0.0852083398764401,0,1,Negatif
Ricky Rian Nando,1,2025-01-23 17:51:56,"Aplikasi taik, bonus gk bisa di tarik, referal juga cuma 1000 perak",aplikasi taik bonus gk bisa di tarik referal juga cuma perak,"['aplikasi', 'taik', 'bonus', 'gk', 'bisa', 'di', 'tarik', 'referal', 'juga', 'cuma', 'perak']","['aplikasi', 'taik', 'bonus', 'gk', 'tarik', 'referal', 'perak']",['aplikasi taik bonus gk tarik referal perak'],0.9151440514843028,0.0848559485156971,0,1,Negatif
BER3,1,2025-01-18 16:17:02,pembohong katanya gratis saldo ee malah gratis poin doang gabisa juga digunakan lol hapus aja ni pembodohan publik,pembohong katanya gratis saldo ee malah gratis poin doang gabisa juga digunakan lol hapus aja ni pembodohan publik,"['pembohong', 'katanya', 'gratis', 'saldo', 'ee', 'malah', 'gratis', 'poin', 'doang', 'gabisa', 'juga', 'digunakan', 'lol', 'hapus', 'aja', 'ni', 'pembodohan', 'publik']","['pembohong', 'gratis', 'saldo', 'ee', 'gratis', 'poin', 'doang', 'gabisa', 'lol', 'hapus', 'aja', 'ni', 'pembodohan', 'publik']",['bohong gratis saldo ee gratis poin doang gabisa lol hapus aja ni bodoh publik'],0.9628992779427532,0.0371007220572467,0,1,Positif
Rizki Ramadhan,1,2025-01-15 19:58:52,apknya lemot dan eror??,apknya lemot dan eror ,"['apknya', 'lemot', 'dan', 'eror']","['apknya', 'lemot', 'eror']",['apknya lot eror'],0.1607661006621053,0.8392338993378946,1,0,Negatif
Maju Mapan,5,2025-01-15 16:47:17,Harusnya bonus downloadn itu Rupiah...dan bonus refrial terlalu kecil..coba perbaiki bonus download dan refrial...pasti berkembang..,harusnya bonus downloadn itu rupiah dan bonus refrial terlalu kecil coba perbaiki bonus download dan refrial pasti berkembang ,"['harusnya', 'bonus', 'downloadn', 'itu', 'rupiah', 'dan', 'bonus', 'refrial', 'terlalu', 'kecil', 'coba', 'perbaiki', 'bonus', 'download', 'dan', 'refrial', 'pasti', 'berkembang']","['bonus', 'downloadn', 'rupiah', 'bonus', 'refrial', 'coba', 'perbaiki', 'bonus', 'download', 'refrial', 'berkembang']",['bonus downloadn rupiah bonus refrial coba baik bonus download refrial kembang'],0.0636793210131301,0.9363206789868698,1,0,Positif
Eiv Eiva,1,2025-01-12 08:11:40,iklan tidak sesuai kenyataan,iklan tidak sesuai kenyataan,"['iklan', 'tidak', 'sesuai', 'kenyataan']","['iklan', 'sesuai', 'kenyataan']",['iklan sesuai nyata'],0.1540731415917711,0.8459268584082288,1,0,Positif
inarto j,2,2025-01-12 02:52:23,"Kalau mau cepet kurang di sarankan, soalnya drivernya dari jauh 2 bukan yg terdekat.",kalau mau cepet kurang di sarankan soalnya drivernya dari jauh bukan yg terdekat ,"['kalau', 'mau', 'cepet', 'kurang', 'di', 'sarankan', 'soalnya', 'drivernya', 'dari', 'jauh', 'bukan', 'yg', 'terdekat']","['cepet', 'sarankan', 'drivernya', 'yg', 'terdekat']",['cepet saran drivernya yg dekat'],0.8347799496339389,0.165220050366061,0,1,Negatif
Sugi Yanti,5,2025-01-09 10:10:56,"Harga murah sekali, pelayanan jos tenan",harga murah sekali pelayanan jos tenan,"['harga', 'murah', 'sekali', 'pelayanan', 'jos', 'tenan']","['harga', 'murah', 'pelayanan', 'jos', 'tenan']",['harga murah layan jos tenan'],0.2715781854991644,0.7284218145008355,1,0,Positif
Sap Group,5,2025-01-08 04:59:17,Aplikasi yg bijaksana. Sukses selalu utk JogjaKita.,aplikasi yg bijaksana sukses selalu utk jogjakita ,"['aplikasi', 'yg', 'bijaksana', 'sukses', 'selalu', 'utk', 'jogjakita']","['aplikasi', 'yg', 'bijaksana', 'sukses', 'utk', 'jogjakita']",['aplikasi yg bijaksana sukses utk jogjakita'],0.0827628110861495,0.9172371889138504,1,0,Positif
Selly Febrianti,1,2025-01-05 06:40:11,"Aplikasi gila, harga promo tidak ada dan selalu kena tambahan biaya di real pesanannya. Merugikan cuatomer dan driver. Dana susah ditariknya. Nggak ikhlas saya sumpah...",aplikasi gila harga promo tidak ada dan selalu kena tambahan biaya di real pesanannya merugikan cuatomer dan driver dana susah ditariknya nggak ikhlas saya sumpah ,"['aplikasi', 'gila', 'harga', 'promo', 'tidak', 'ada', 'dan', 'selalu', 'kena', 'tambahan', 'biaya', 'di', 'real', 'pesanannya', 'merugikan', 'cuatomer', 'dan', 'driver', 'dana', 'susah', 'ditariknya', 'nggak', 'ikhlas', 'saya', 'sumpah']","['aplikasi', 'gila', 'harga', 'promo', 'kena', 'tambahan', 'biaya', 'real', 'pesanannya', 'merugikan', 'cuatomer', 'driver', 'dana', 'susah', 'ditariknya', 'nggak', 'ikhlas', 'sumpah']",['aplikasi gila harga promo kena tambah biaya real pesan rugi cuatomer driver dana susah tarik nggak ikhlas sumpah'],0.9625673728064944,0.0374326271935056,0,1,Negatif
Maryono Aja,1,2025-01-03 06:52:28,"Untuk biaya lebih murah dari apk lainnya , hanya sja Penjemputn terlalu lama sekali , bisa sampe nunggu 30 mnt Untuk pembatalan orderan juga sudah harus mnghubungi cs atau driver . Sedangkn trkadang cs juga lama responnya .. mohon bisa di perbaiki lagi",untuk biaya lebih murah dari apk lainnya hanya sja penjemputn terlalu lama sekali bisa sampe nunggu mnt untuk pembatalan orderan juga sudah harus mnghubungi cs atau driver sedangkn trkadang cs juga lama responnya mohon bisa di perbaiki lagi,"['untuk', 'biaya', 'lebih', 'murah', 'dari', 'apk', 'lainnya', 'hanya', 'sja', 'penjemputn', 'terlalu', 'lama', 'sekali', 'bisa', 'sampe', 'nunggu', 'mnt', 'untuk', 'pembatalan', 'orderan', 'juga', 'sudah', 'harus', 'mnghubungi', 'cs', 'atau', 'driver', 'sedangkn', 'trkadang', 'cs', 'juga', 'lama', 'responnya', 'mohon', 'bisa', 'di', 'perbaiki', 'lagi']","['biaya', 'murah', 'apk', 'sja', 'penjemputn', 'sampe', 'nunggu', 'mnt', 'pembatalan', 'orderan', 'mnghubungi', 'cs', 'driver', 'sedangkn', 'trkadang', 'cs', 'responnya', 'mohon', 'perbaiki']",['biaya murah apk sja penjemputn sampe nunggu mnt batal order mnghubungi cs driver sedangkn trkadang cs responnya mohon baik'],0.965890483695396,0.0341095163046039,0,1,Negatif
NhandarJR MMJ,1,2025-01-02 12:24:51,"Aplikasi nya penipuan katanya pas Download dapat saldo nyatanya bohong,",aplikasi nya penipuan katanya pas download dapat saldo nyatanya bohong ,"['aplikasi', 'nya', 'penipuan', 'katanya', 'pas', 'download', 'dapat', 'saldo', 'nyatanya', 'bohong']","['aplikasi', 'nya', 'penipuan', 'pas', 'download', 'saldo', 'bohong']",['aplikasi nya tipu pas download saldo bohong'],0.9044629109839584,0.0955370890160417,0,1,Negatif
Rohmad Kurniawan,5,2024-12-31 12:55:47,sangat puas,sangat puas,"['sangat', 'puas']",['puas'],['puas'],0.2662971803882064,0.7337028196117936,1,0,Positif
JIMI ANGGARA (Jimmy),1,2024-12-28 07:00:20,"Percuma d download, COINnya g bisa d pake jg",percuma download coinnya bisa pake jg,"['percuma', 'download', 'coinnya', 'bisa', 'pake', 'jg']","['download', 'coinnya', 'pake', 'jg']",['download coinnya pake jg'],0.8947804878313392,0.1052195121686606,0,1,Negatif
shaqi shaqinah,5,2024-12-27 23:44:14,suka aplikasi ini,suka aplikasi ini,"['suka', 'aplikasi', 'ini']","['suka', 'aplikasi']",['suka aplikasi'],0.1997279194138513,0.8002720805861486,1,0,Negatif
Alberta Carla,1,2024-12-26 13:49:40,"JELEK, SUSAH CARI DRIVER pembayaran digital suka ditilep",jelek susah cari driver pembayaran digital suka ditilep,"['jelek', 'susah', 'cari', 'driver', 'pembayaran', 'digital', 'suka', 'ditilep']","['jelek', 'susah', 'cari', 'driver', 'pembayaran', 'digital', 'suka', 'ditilep']",['jelek susah cari driver bayar digital suka ditilep'],0.9283581869602509,0.0716418130397493,0,1,Negatif
Adi Kurnia Tresna Putra,1,2024-12-24 21:20:50,"jelek, super jelek",jelek super jelek,"['jelek', 'super', 'jelek']","['jelek', 'super', 'jelek']",['jelek super jelek'],0.526102491835979,0.4738975081640209,0,1,Negatif
Andika RailFans,1,2024-12-20 01:43:38,"Penjemputan terlalu jauh tidak efisien, menyiksa driver dan membuat costumer menunggu lama",penjemputan terlalu jauh tidak efisien menyiksa driver dan membuat costumer menunggu lama,"['penjemputan', 'terlalu', 'jauh', 'tidak', 'efisien', 'menyiksa', 'driver', 'dan', 'membuat', 'costumer', 'menunggu', 'lama']","['penjemputan', 'efisien', 'menyiksa', 'driver', 'costumer', 'menunggu']",['jemput efisien siksa driver costumer tunggu'],0.9216082705036168,0.0783917294963832,0,1,Negatif
Nizar Ulinnuha,4,2024-12-18 09:30:56,maps nya kadang melenceng 100 meteran,maps nya kadang melenceng meteran,"['maps', 'nya', 'kadang', 'melenceng', 'meteran']","['maps', 'nya', 'kadang', 'melenceng', 'meteran']",['maps nya kadang lenceng meter'],0.2046229838617324,0.7953770161382676,1,0,Negatif
Robby candra,2,2024-12-18 00:04:20,Sering error makin du update.,sering error makin du update ,"['sering', 'error', 'makin', 'du', 'update']","['error', 'du', 'update']",['error du update'],0.8512203703054179,0.1487796296945822,0,1,Negatif
Clas Mild,5,2024-12-16 03:41:31,jazaa kumullohu khoyron wa baa rokallohu fiikum,jazaa kumullohu khoyron wa baa rokallohu fiikum,"['jazaa', 'kumullohu', 'khoyron', 'wa', 'baa', 'rokallohu', 'fiikum']","['jazaa', 'kumullohu', 'khoyron', 'wa', 'baa', 'rokallohu', 'fiikum']",['jazaa kumullohu khoyron wa baa rokallohu fiikum'],0.0660113664872387,0.9339886335127612,1,0,Negatif
Rosa Aprilia,5,2024-12-15 17:12:04,Sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu'],0.2501756320033388,0.7498243679966612,1,0,Negatif
WU LIAN NET,5,2024-12-13 15:28:53,Semakin Oke,semakin oke,"['semakin', 'oke']",['oke'],['oke'],0.7072051446961841,0.2927948553038158,0,1,Positif
TAKE MAZUKI,5,2024-12-11 09:40:23,Aplikasi sudah bagus cuman perlu ditingkatkan lagi biar mantap,aplikasi sudah bagus cuman perlu ditingkatkan lagi biar mantap,"['aplikasi', 'sudah', 'bagus', 'cuman', 'perlu', 'ditingkatkan', 'lagi', 'biar', 'mantap']","['aplikasi', 'bagus', 'cuman', 'ditingkatkan', 'biar', 'mantap']",['aplikasi bagus cuman tingkat biar mantap'],0.0815250255596149,0.9184749744403852,1,0,Positif
Bintari Rochim,5,2024-12-08 08:37:24,sangat membantu kami harga bersaing,sangat membantu kami harga bersaing,"['sangat', 'membantu', 'kami', 'harga', 'bersaing']","['membantu', 'harga', 'bersaing']",['bantu harga saing'],0.1319824381546644,0.8680175618453356,1,0,Negatif
willy agus,5,2024-12-03 05:26:02,mantab,mantab,['mantab'],['mantab'],['mantab'],0.2503089974365775,0.7496910025634226,1,0,Negatif
Alle,1,2024-12-01 23:44:23,Aplikasi goblokk yang pernah gw download apah2 mau mesan inihh ituhh diaplikasi Jogja tidak tersedia peaa apuss ajahh nihh aplikasi babi,aplikasi goblokk yang pernah gw download apah mau mesan inihh ituhh diaplikasi jogja tidak tersedia peaa apuss ajahh nihh aplikasi babi,"['aplikasi', 'goblokk', 'yang', 'pernah', 'gw', 'download', 'apah', 'mau', 'mesan', 'inihh', 'ituhh', 'diaplikasi', 'jogja', 'tidak', 'tersedia', 'peaa', 'apuss', 'ajahh', 'nihh', 'aplikasi', 'babi']","['aplikasi', 'goblokk', 'gw', 'download', 'apah', 'mesan', 'inihh', 'ituhh', 'diaplikasi', 'jogja', 'tersedia', 'peaa', 'apuss', 'ajahh', 'nihh', 'aplikasi', 'babi']",['aplikasi goblokk gw download apah mesan inihh ituhh aplikasi jogja sedia peaa apuss ajahh nihh aplikasi babi'],0.9222990661523088,0.0777009338476911,0,1,Positif
Dody Triyanti,5,2024-11-18 06:28:11,"Bagus sebernya lebih murah dari yang lain,, cuma kok setelah diupdate sering lemot ya lama buka aplikasinya 😌😌😌😌😌😌 ayo dong diperbaiki kan sayang lo 😴",bagus sebernya lebih murah dari yang lain cuma kok setelah diupdate sering lemot ya lama buka aplikasinya ayo dong diperbaiki kan sayang lo ,"['bagus', 'sebernya', 'lebih', 'murah', 'dari', 'yang', 'lain', 'cuma', 'kok', 'setelah', 'diupdate', 'sering', 'lemot', 'ya', 'lama', 'buka', 'aplikasinya', 'ayo', 'dong', 'diperbaiki', 'kan', 'sayang', 'lo']","['bagus', 'sebernya', 'murah', 'diupdate', 'lemot', 'ya', 'buka', 'aplikasinya', 'ayo', 'diperbaiki', 'sayang', 'lo']",['bagus sebernya murah diupdate lot ya buka aplikasi ayo baik sayang lo'],0.1519135682689615,0.8480864317310384,1,0,Positif
Rizal Rizal,1,2024-11-17 00:59:11,Bonus point nya nggak bisa di.tarik,bonus point nya nggak bisa di tarik,"['bonus', 'point', 'nya', 'nggak', 'bisa', 'di', 'tarik']","['bonus', 'point', 'nya', 'nggak', 'tarik']",['bonus point nya nggak tarik'],0.8877858957566058,0.1122141042433942,0,1,Negatif
Rafatar 108,5,2024-11-10 03:43:59,Mantap sekali aplikasi nya,mantap sekali aplikasi nya,"['mantap', 'sekali', 'aplikasi', 'nya']","['mantap', 'aplikasi', 'nya']",['mantap aplikasi nya'],0.2978567705466359,0.7021432294533642,1,0,Positif
Indah Nur Rahmah,1,2024-11-08 12:54:48,"order makanan pertama kali langsung kapok krna ada tagihan di luar aplikasi, cs jg kurang solutif tidak ada permintaan maaf sama sekali aplikasi sering ngebug, banyak yg perlu diperbaiki tidak recommended",order makanan pertama kali langsung kapok krna ada tagihan di luar aplikasi cs jg kurang solutif tidak ada permintaan maaf sama sekali aplikasi sering ngebug banyak yg perlu diperbaiki tidak recommended,"['order', 'makanan', 'pertama', 'kali', 'langsung', 'kapok', 'krna', 'ada', 'tagihan', 'di', 'luar', 'aplikasi', 'cs', 'jg', 'kurang', 'solutif', 'tidak', 'ada', 'permintaan', 'maaf', 'sama', 'sekali', 'aplikasi', 'sering', 'ngebug', 'banyak', 'yg', 'perlu', 'diperbaiki', 'tidak', 'recommended']","['order', 'makanan', 'kali', 'langsung', 'kapok', 'krna', 'tagihan', 'aplikasi', 'cs', 'jg', 'solutif', 'permintaan', 'maaf', 'aplikasi', 'ngebug', 'yg', 'diperbaiki', 'recommended']",['order makan kali langsung kapok krna tagih aplikasi cs jg solutif minta maaf aplikasi ngebug yg baik recommended'],0.9702493461110064,0.0297506538889936,0,1,Positif
Ridho Hakim,5,2024-11-08 02:52:15,jos lek,jos lek,"['jos', 'lek']","['jos', 'lek']",['jos lek'],0.8254824557654399,0.1745175442345601,0,1,Negatif
Bakmi MasJoyo,5,2024-11-07 03:11:34,terimakasi,terimakasi,['terimakasi'],['terimakasi'],['terimakasi'],0.7208377955919552,0.2791622044080448,0,1,Negatif
Sri Dewi Indrayani,5,2024-11-01 12:12:53,Alhamdulillah...gercep,alhamdulillah gercep,"['alhamdulillah', 'gercep']","['alhamdulillah', 'gercep']",['alhamdulillah gercep'],0.1674661106532603,0.8325338893467397,1,0,Negatif
lutfitasari devi,5,2024-10-30 06:57:17,cari driver nya jauh jadi sampek lokasi pengambilan barang agak lama,cari driver nya jauh jadi sampek lokasi pengambilan barang agak lama,"['cari', 'driver', 'nya', 'jauh', 'jadi', 'sampek', 'lokasi', 'pengambilan', 'barang', 'agak', 'lama']","['cari', 'driver', 'nya', 'sampek', 'lokasi', 'pengambilan', 'barang']",['cari driver nya sampek lokasi ambil barang'],0.9354049848875384,0.0645950151124617,0,1,Negatif
Satriya agung Pramudya,5,2024-10-29 03:09:40,Pelayanan siipp.... driver nya ramah dan sopan. Tingkatkan terus utk jogja istimewa,pelayanan siipp driver nya ramah dan sopan tingkatkan terus utk jogja istimewa,"['pelayanan', 'siipp', 'driver', 'nya', 'ramah', 'dan', 'sopan', 'tingkatkan', 'terus', 'utk', 'jogja', 'istimewa']","['pelayanan', 'siipp', 'driver', 'nya', 'ramah', 'sopan', 'tingkatkan', 'utk', 'jogja', 'istimewa']",['layan siipp driver nya ramah sopan tingkat utk jogja istimewa'],0.3304983084266731,0.669501691573327,1,0,Positif
Lia Nur Latifah,1,2024-10-21 11:24:47,"Yang belum install belum pake aku saranin gak usah, gak recommended. Kapok banget aku asli...",yang belum install belum pake aku saranin gak usah gak recommended kapok banget aku asli ,"['yang', 'belum', 'install', 'belum', 'pake', 'aku', 'saranin', 'gak', 'usah', 'gak', 'recommended', 'kapok', 'banget', 'aku', 'asli']","['install', 'pake', 'saranin', 'gak', 'gak', 'recommended', 'kapok', 'banget', 'asli']",['install pake saranin gak gak recommended kapok banget asli'],0.8139142061937151,0.1860857938062849,0,1,Positif
Muslikh Indriyanta,5,2024-10-19 23:46:57,bagus,bagus,['bagus'],['bagus'],['bagus'],0.2507895359629051,0.7492104640370949,1,0,Positif
Yuli Yuli,5,2024-10-18 00:20:26,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",['terima kasih'],0.8242593709245263,0.1757406290754737,0,1,Negatif
Tina Yuliana,5,2024-10-17 08:19:00,terimakasih,terimakasih,['terimakasih'],['terimakasih'],['terimakasih'],0.251971026025036,0.7480289739749639,1,0,Negatif
Pioner Group,5,2024-10-12 01:45:33,siipp,siipp,['siipp'],['siipp'],['siipp'],0.2565814564482691,0.743418543551731,1,0,Negatif
nuning naura,1,2024-10-09 23:34:27,terikasih,terikasih,['terikasih'],['terikasih'],['terikasih'],0.2557051400966941,0.7442948599033059,1,0,Positif
Rinovian Megawati,5,2024-10-08 23:03:03,"pokoke sukses selalu dan segala kebaikan selalu menyertai, terimakasih sudah berbagi kebaikan dan menjadi manfaat untuk orang banyak",pokoke sukses selalu dan segala kebaikan selalu menyertai terimakasih sudah berbagi kebaikan dan menjadi manfaat untuk orang banyak,"['pokoke', 'sukses', 'selalu', 'dan', 'segala', 'kebaikan', 'selalu', 'menyertai', 'terimakasih', 'sudah', 'berbagi', 'kebaikan', 'dan', 'menjadi', 'manfaat', 'untuk', 'orang', 'banyak']","['pokoke', 'sukses', 'kebaikan', 'menyertai', 'terimakasih', 'berbagi', 'kebaikan', 'manfaat', 'orang']",['pokoke sukses baik serta terimakasih bagi baik manfaat orang'],0.0693028170755151,0.9306971829244848,1,0,Positif
Pagianto Lorosae,3,2024-10-04 13:27:54,"Gagal pesan, tapi dana tidak kembali ke sumber asalnya",gagal pesan tapi dana tidak kembali ke sumber asalnya,"['gagal', 'pesan', 'tapi', 'dana', 'tidak', 'kembali', 'ke', 'sumber', 'asalnya']","['gagal', 'pesan', 'dana', 'sumber', 'asalnya']",['gagal pesan dana sumber asal'],0.7089293366670261,0.2910706633329739,0,1,Negatif
Dedy Nugroho,5,2024-09-26 23:25:11,#trimakasih jogja kita membantu antar jemput sekolah anak free semoga sukses selalu, trimakasih jogja kita membantu antar jemput sekolah anak free semoga sukses selalu,"['trimakasih', 'jogja', 'kita', 'membantu', 'antar', 'jemput', 'sekolah', 'anak', 'free', 'semoga', 'sukses', 'selalu']","['trimakasih', 'jogja', 'membantu', 'jemput', 'sekolah', 'anak', 'free', 'semoga', 'sukses']",['trimakasih jogja bantu jemput sekolah anak free moga sukses'],0.1716420529667442,0.8283579470332557,1,0,Positif
